,frase
422,"O/A Sr.  Leo Zimmerman não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.88 pelo bilhete 315082. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
423,"O/A Sra.  Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 14.4 pelo bilhete 347080. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
424,"O/A Sr.  Viktor Richard Rosblom não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 20.21 pelo bilhete 370129. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
425,"O/A Sr.  Phillippe Wiseman não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete A/4. 34244. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
426,"O/A Sra.  Charles V (Ada Maria Winfield) Clarke sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 2003. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
427,"O/A Sra.  Kate Florence (""Mrs Kate Louise Phillips Marshall"") Phillips sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 250655. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
428,"O/A Sr.  James Flynn não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 364851. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
429,"O/A Sr.  Berk (Berk Trembisky) Pickard sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Southampton, na cabine E10, classe C. Pagou US$ 8.05 pelo bilhete SOTON/O.Q. 392078. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
430,"O/A Sr.  Mauritz Hakan Bjornstrom-Steffansson sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine C52, classe A. Pagou US$ 26.55 pelo bilhete 110564. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
431,"O/A Sra.  Percival (Florence Kate White) Thorneycroft sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 16.1 pelo bilhete 376564. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
432,"O/A Sra.  Charles Alexander (Alice Adelaide Slow) Louch sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete SC/AH 3085. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
433,"O/A Sr.  Nikolai Erland Kallio não sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.12 pelo bilhete STON/O 2. 3101274. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
434,"O/A Sr.  William Baird Silvey não sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Southampton, na cabine E44, classe A. Pagou US$ 55.9 pelo bilhete 13507. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
435,"O/A Sra.  Lucile Polk Carter sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Southampton, na cabine B96 B98, classe A. Pagou US$ 120.0 pelo bilhete 113760. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
436,"O/A Sra.  Doolina Margaret ""Daisy"" Ford não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 34.38 pelo bilhete W./C. 6608. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
437,"O/A Sra.  Sidney (Emily Hocking) Richards sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 18.75 pelo bilhete 29106. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
438,"O/A Sr.  Mark Fortune não sobreviveu ao acidente do Titanic. Na época, contava com 64 anos, embarcou em Southampton, na cabine C23 C25 C27, classe A. Pagou US$ 263.0 pelo bilhete 19950. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
439,"O/A Sr.  Johan Henrik Johannesson Kvillner não sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 18723. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
440,"O/A Sra.  Benjamin (Esther Ada Bloomfield) Hart sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.25 pelo bilhete F.C.C. 13529. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
441,"O/A Sr.  Leon Hampe não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.5 pelo bilhete 345769. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
442,"O/A Sr.  Johan Emil Petterson não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347076. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
443,"O/A Sra.  Encarnacion Reynaldo sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 230434. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
444,"O/A Sr.  Bernt Johannesen-Bratthammer sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.11 pelo bilhete 65306. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
445,"O/A Sr.  Washington Dodge sobreviveu ao acidente do Titanic. Na época, contava com 4 anos, embarcou em Southampton, na cabine A34, classe A. Pagou US$ 81.86 pelo bilhete 33638. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
446,"O/A Sra.  Madeleine Violet Mellinger sobreviveu ao acidente do Titanic. Na época, contava com 13 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 19.5 pelo bilhete 250644. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
447,"O/A Sr.  Frederic Kimber Seward sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 26.55 pelo bilhete 113794. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
448,"O/A Sra.  Marie Catherine Baclini sobreviveu ao acidente do Titanic. Na época, contava com 5 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 19.26 pelo bilhete 2666. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
449,"O/A Sr.  Arthur Godfrey Peuchen sobreviveu ao acidente do Titanic. Na época, contava com 52 anos, embarcou em Southampton, na cabine C104, classe A. Pagou US$ 30.5 pelo bilhete 113786. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
450,"O/A Sr.  Edwy Arthur West não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 27.75 pelo bilhete C.A. 34651. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
451,"O/A Sr.  Ingvald Olai Olsen Hagland não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 19.97 pelo bilhete 65303. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
452,"O/A Sr.  Benjamin Laventall Foreman não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Cherbourg, na cabine C111, classe A. Pagou US$ 27.75 pelo bilhete 113051. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
453,"O/A Sr.  Samuel L Goldenberg sobreviveu ao acidente do Titanic. Na época, contava com 49 anos, embarcou em Cherbourg, na cabine C92, classe A. Pagou US$ 89.1 pelo bilhete 17453. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
454,"O/A Sr.  Joseph Peduzzi não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/5 2817. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
455,"O/A Sr.  Ivan Jalsevac sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349240. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
456,"O/A Sr.  Francis Davis Millet não sobreviveu ao acidente do Titanic. Na época, contava com 65 anos, embarcou em Southampton, na cabine E38, classe A. Pagou US$ 26.55 pelo bilhete 13509. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
457,"O/A Sra.  Frederick R (Marion) Kenyon sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine D21, classe A. Pagou US$ 51.86 pelo bilhete 17464. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
458,"O/A Sra.  Ellen Toomey sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete F.C.C. 13531. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
459,"O/A Sr.  Maurice O'Connor não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 371060. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
460,"O/A Sr.  Harry Anderson sobreviveu ao acidente do Titanic. Na época, contava com 48 anos, embarcou em Southampton, na cabine E12, classe A. Pagou US$ 26.55 pelo bilhete 19952. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
461,"O/A Sr.  William Morley não sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 364506. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
462,"O/A Sr.  Arthur H Gee não sobreviveu ao acidente do Titanic. Na época, contava com 47 anos, embarcou em Southampton, na cabine E63, classe A. Pagou US$ 38.5 pelo bilhete 111320. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
463,"O/A Sr.  Jacob Christian Milling não sobreviveu ao acidente do Titanic. Na época, contava com 48 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 234360. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
464,"O/A Sr.  Simon Maisner não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/S 2816. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
465,"O/A Sr.  Manuel Estanslas Goncalves não sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.05 pelo bilhete SOTON/O.Q. 3101306. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
466,"O/A Sr.  William Campbell não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 0.0 pelo bilhete 239853. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
467,"O/A Sr.  John Montgomery Smart não sobreviveu ao acidente do Titanic. Na época, contava com 56 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 26.55 pelo bilhete 113792. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
468,"O/A Sr.  James Scanlan não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.72 pelo bilhete 36209. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
469,"O/A Sra.  Helene Barbara Baclini sobreviveu ao acidente do Titanic. Na época, contava com 0 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 19.26 pelo bilhete 2666. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
470,"O/A Sr.  Arthur Keefe não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete 323592. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
471,"O/A Sr.  Luka Cacic não sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 315089. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
472,"O/A Sra.  Edwy Arthur (Ada Mary Worth) West sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 27.75 pelo bilhete C.A. 34651. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
473,"O/A Sra.  Amin S (Marie Marthe Thuillard) Jerwan sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Cherbourg, na cabine D, classe B. Pagou US$ 13.79 pelo bilhete SC/AH Basle 541. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
474,"O/A Sra.  Ida Sofia Strandberg não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.84 pelo bilhete 7553. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
475,"O/A Sr.  George Quincy Clifford não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine A14, classe A. Pagou US$ 52.0 pelo bilhete 110465. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
476,"O/A Sr.  Peter Henry Renouf não sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 21.0 pelo bilhete 31027. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
477,"O/A Sr.  Lewis Richard Braund não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.05 pelo bilhete 3460. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
478,"O/A Sr.  Nils August Karlsson não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.52 pelo bilhete 350060. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
479,"O/A Sra.  Hildur E Hirvonen sobreviveu ao acidente do Titanic. Na época, contava com 2 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 12.29 pelo bilhete 3101298. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
480,"O/A Sr.  Harold Victor Goodwin não sobreviveu ao acidente do Titanic. Na época, contava com 9 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 46.9 pelo bilhete CA 2144. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
481,"O/A Sr.  Anthony Wood ""Archie"" Frost não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 0.0 pelo bilhete 239854. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
482,"O/A Sr.  Richard Henry Rouse não sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/5 3594. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
483,"O/A Sra.  (Hedwig) Turkula sobreviveu ao acidente do Titanic. Na época, contava com 63 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.59 pelo bilhete 4134. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
484,"O/A Sr.  Dickinson H Bishop sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Cherbourg, na cabine B49, classe A. Pagou US$ 91.08 pelo bilhete 11967. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
485,"O/A Sra.  Jeannie Lefebre não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 25.47 pelo bilhete 4133. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
486,"O/A Sra.  Frederick Maxfield (Jane Anne Forby) Hoyt sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine C93, classe A. Pagou US$ 90.0 pelo bilhete 19943. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
487,"O/A Sr.  Edward Austin Kent não sobreviveu ao acidente do Titanic. Na época, contava com 58 anos, embarcou em Cherbourg, na cabine B37, classe A. Pagou US$ 29.7 pelo bilhete 11771. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
488,"O/A Sr.  Francis William Somerton não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A.5. 18509. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
489,"O/A Sr.  Eden Leslie ""Neville"" Coutts sobreviveu ao acidente do Titanic. Na época, contava com 9 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 15.9 pelo bilhete C.A. 37671. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
490,"O/A Sr.  Konrad Mathias Reiersen Hagland não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 19.97 pelo bilhete 65304. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
491,"O/A Sr.  Einar Windelov não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete SOTON/OQ 3101317. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
492,"O/A Sr.  Harry Markland Molson não sobreviveu ao acidente do Titanic. Na época, contava com 55 anos, embarcou em Southampton, na cabine C30, classe A. Pagou US$ 30.5 pelo bilhete 113787. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
493,"O/A Sr.  Ramon Artagaveytia não sobreviveu ao acidente do Titanic. Na época, contava com 71 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 49.5 pelo bilhete PC 17609. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
494,"O/A Sr.  Edward Roland Stanley não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/4 45380. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
495,"O/A Sr.  Gerious Yousseff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.46 pelo bilhete 2627. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
496,"O/A Sra.  Elizabeth Mussey Eustis sobreviveu ao acidente do Titanic. Na época, contava com 54 anos, embarcou em Cherbourg, na cabine D20, classe A. Pagou US$ 78.27 pelo bilhete 36947. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
497,"O/A Sr.  Frederick William Shellard não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 15.1 pelo bilhete C.A. 6212. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
498,"O/A Sra.  Hudson J C (Bessie Waldo Daniels) Allison não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine C22 C26, classe A. Pagou US$ 151.55 pelo bilhete 113781. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
499,"O/A Sr.  Olof Svensson não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.8 pelo bilhete 350035. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
500,"O/A Sr.  Petar Calic não sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 315086. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
501,"O/A Sra.  Mary Canavan não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 364846. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
502,"O/A Sra.  Bridget Mary O'Sullivan não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.63 pelo bilhete 330909. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
503,"O/A Sra.  Kristina Sofia Laitinen não sobreviveu ao acidente do Titanic. Na época, contava com 37 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.59 pelo bilhete 4135. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
504,"O/A Sra.  Roberta Maioni sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine B79, classe A. Pagou US$ 86.5 pelo bilhete 110152. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
505,"O/A Sr.  Victor de Satode Penasco y Castellana não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Cherbourg, na cabine C65, classe A. Pagou US$ 108.9 pelo bilhete PC 17758. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
506,"O/A Sra.  Frederick Charles (Jane Richards) Quick sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 26360. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
507,"O/A Sr.  George (""George Arthur Brayton"") Bradley sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 26.55 pelo bilhete 111427. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
508,"O/A Sr.  Henry Margido Olsen não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 22.52 pelo bilhete C 4001. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
509,"O/A Sr.  Fang Lang sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 56.5 pelo bilhete 1601. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
510,"O/A Sr.  Eugene Patrick Daly sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 382651. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
511,"O/A Sr.  James Webber não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete SOTON/OQ 3101316. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
512,"O/A Sr.  James Robert McGough sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine E25, classe A. Pagou US$ 26.29 pelo bilhete PC 17473. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
513,"O/A Sra.  Martin (Elizabeth L Rothschild sobreviveu ao acidente do Titanic. Na época, contava com 54 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 59.4 pelo bilhete PC 17603. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
514,"O/A Sr.  Satio Coleff não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.5 pelo bilhete 349209. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
515,"O/A Sr.  William Anderson Walker não sobreviveu ao acidente do Titanic. Na época, contava com 47 anos, embarcou em Southampton, na cabine D46, classe A. Pagou US$ 34.02 pelo bilhete 36967. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
516,"O/A Sra.  (Amelia Milley) Lemore sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine F33, classe B. Pagou US$ 10.5 pelo bilhete C.A. 34260. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
517,"O/A Sr.  Patrick Ryan não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 24.15 pelo bilhete 371110. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
518,"O/A Sra.  William A (Florence ""Mary"" Agnes Hughes) Angle sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 226875. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
519,"O/A Sr.  Stefo Pavlovic não sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349242. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
520,"O/A Sra.  Anne Perreault sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine B73, classe A. Pagou US$ 93.5 pelo bilhete 12749. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
521,"O/A Sr.  Janko Vovk não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349252. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
522,"O/A Sr.  Sarkis Lahoud não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2624. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
523,"O/A Sra.  Louis Albert (Ida Sophia Fischer) Hippach sobreviveu ao acidente do Titanic. Na época, contava com 44 anos, embarcou em Cherbourg, na cabine B18, classe A. Pagou US$ 57.98 pelo bilhete 111361. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
